occupation_title,task,rating
"First-Line Supervisors of Protective Service Workers, All Other","Train new employees in procedures, safety protocols, and operational duties specific to protective services.",2
"First-Line Supervisors of Protective Service Workers, All Other",Review incident reports and conduct follow-up investigations to identify areas for improvement.,3
"First-Line Supervisors of Protective Service Workers, All Other","Maintain records of staff attendance, incidents, and training activities, ensuring compliance with legal requirements.",3
"First-Line Supervisors of Protective Service Workers, All Other","Communicate with upper management regarding resource needs, operational issues, and personnel matters.",3
"First-Line Supervisors of Protective Service Workers, All Other",Develop and implement improvement plans for team performance and service delivery.,3
Firefighters,Respond to emergency calls and alarms related to fires and other incidents,1
Firefighters,Conduct firefighting operations to control and extinguish fires,1
Firefighters,Perform search and rescue operations to assist trapped individuals,1
Firefighters,Administer first aid and medical assistance to injured persons,1
Firefighters,Inspect and maintain firefighting equipment and tools,2
Firefighters,Conduct building inspections for fire hazards and compliance with fire codes,1
Firefighters,Educate the public on fire prevention and safety practices,1
Firefighters,Participate in training drills to maintain and improve skills,1
Firefighters,Complete and maintain detailed reports of incidents and actions taken,3
Firefighters,Collaborate with other emergency services and agencies during large-scale incidents,1
Firefighters,Drive and operate firefighting vehicles and equipment safely,1
Firefighters,Perform physical fitness training to maintain physical conditioning,1
Firefighters,Respond to hazardous material incidents and provide decontamination assistance,1
Firefighters,Provide fire prevention education to schools and community programs,1
Fire Inspectors and Investigators,Conduct fire safety inspections in buildings and facilities to ensure compliance with fire codes and regulations.,1
Fire Inspectors and Investigators,"Examine fire scenes to determine the origin and cause of fires, documenting findings with photos and reports.",1
Fire Inspectors and Investigators,Review and evaluate building plans and fire protection systems for compliance with codes.,3
Fire Inspectors and Investigators,"Prepare detailed inspection and investigation reports, including findings and recommendations for corrective actions.",3
Fire Inspectors and Investigators,Conduct follow-up inspections to ensure compliance with fire codes after violations are noted.,1
Fire Inspectors and Investigators,Educate property owners and the public about fire safety regulations and prevention practices.,2
Fire Inspectors and Investigators,Collaborate with local fire departments to address safety concerns and improve fire safety measures in the community.,1
Fire Inspectors and Investigators,"Investigate suspicious or cause unknown fires for potential arson cases, working with law enforcement as necessary.",1
Fire Inspectors and Investigators,"Maintain records of inspections, violations, and follow-up actions in databases or management systems.",4
Fire Inspectors and Investigators,"Attend training sessions to stay up-to-date with fire safety laws, regulations, and investigation techniques.",2
Fire Inspectors and Investigators,Participate in community outreach programs to promote fire safety awareness and prevention.,1
Forest Fire Inspectors and Prevention Specialists,Conduct field inspections of fire-prone areas to assess risks and conditions,1
Forest Fire Inspectors and Prevention Specialists,Evaluate the effectiveness of fire prevention measures and recommend improvements,2
Forest Fire Inspectors and Prevention Specialists,Monitor weather patterns and other environmental factors that may contribute to fire risk,4
Forest Fire Inspectors and Prevention Specialists,Educate the public and community stakeholders on fire safety and prevention strategies,2
Forest Fire Inspectors and Prevention Specialists,Inspect and assess compliance with fire codes and regulations in various facilities and landscapes,1
Forest Fire Inspectors and Prevention Specialists,"Collaborate with local fire departments, agencies, and organizations to promote fire safety initiatives",2
Forest Fire Inspectors and Prevention Specialists,Prepare reports detailing inspection findings and recommendations for fire prevention strategies,4
Forest Fire Inspectors and Prevention Specialists,Participate in training programs and workshops to stay updated on fire prevention techniques and technologies,2
Forest Fire Inspectors and Prevention Specialists,Utilize mapping software and tools to analyze fire risks and manage fire prevention planning,4
Forest Fire Inspectors and Prevention Specialists,Respond to fire-related inquiries and provide guidance on fire hazard assessments,2
Forest Fire Inspectors and Prevention Specialists,Assist in developing community fire management plans and strategies for urban planning,2
Forest Fire Inspectors and Prevention Specialists,Conduct controlled burns and other fire management practices to reduce fuel loads in high-risk areas,1
Bailiffs,Execute court orders and enforce judgments,1
Bailiffs,Attend court sessions to represent the interests of creditors or plaintiffs,1
Bailiffs,Serve legal documents to debtors and defendants,1
Bailiffs,Conduct property seizures and evictions as per court orders,1
Bailiffs,Communicate with debtors to negotiate payment arrangements,2
Bailiffs,Manage and maintain accurate records of all enforcement actions,3
Bailiffs,Coordinate with law enforcement as necessary during evictions or seizures,1
Bailiffs,Provide information and assistance to the public regarding their rights and obligations,1
Bailiffs,Prepare and submit detailed reports on enforcement activities to court or superiors,3
Bailiffs,Attend training sessions on legal updates and procedural changes,1
Bailiffs,Ensure compliance with all relevant laws and regulations,1
Bailiffs,"Respond to inquiries from attorneys, clients, and other stakeholders",3
Bailiffs,Investigate the financial situations of debtors to identify assets for recovery,2
Bailiffs,Maintain confidentiality regarding sensitive information and cases,1
Correctional Officers and Jailers,Conduct regular patrols of the facility to ensure security and order,1
Correctional Officers and Jailers,Inspect cells and other areas for contraband or safety hazards,1
Correctional Officers and Jailers,Monitor inmate behavior and communicate with them to maintain order,2
Correctional Officers and Jailers,"Enforce rules and regulations, addressing violations appropriately",1
Correctional Officers and Jailers,"Assist in the intake and release of inmates, ensuring proper documentation",1
Correctional Officers and Jailers,"Maintain accurate inmate records, including behavior reports and incident logs",3
Correctional Officers and Jailers,Manage inmate movements within the facility and during transports,1
Correctional Officers and Jailers,"Respond to emergencies, including fights, medical crises, and escapes",1
Correctional Officers and Jailers,"Conduct searches of inmates, visitors, and property as needed",1
Correctional Officers and Jailers,"Prepare reports detailing daily activities, incidents, and inmate interactions",3
Correctional Officers and Jailers,Communicate effectively with law enforcement and other facility staff,2
Correctional Officers and Jailers,Participate in training sessions to stay updated on procedures and policies,1
Correctional Officers and Jailers,Provide support and information to inmates regarding programs and resources available to them,2
Correctional Officers and Jailers,Ensure that all safety protocols and policies are followed within the facility,1
Correctional Officers and Jailers,Engage with community members during public events or outreach efforts regarding the facility's operations.,1
Detectives and Criminal Investigators,Conduct interviews with witnesses and suspects to gather information related to cases,1
Detectives and Criminal Investigators,Collect and analyze physical evidence from crime scenes,1
Detectives and Criminal Investigators,Write detailed reports documenting investigation findings,3
Detectives and Criminal Investigators,Prepare and execute search warrants,1
Detectives and Criminal Investigators,Coordinate with other law enforcement agencies and departments,2
Detectives and Criminal Investigators,Attend autopsies and liaise with forensic experts to understand scientific evidence,1
Detectives and Criminal Investigators,Review case files and evidence to identify leads and suspects,2
Detectives and Criminal Investigators,Participate in surveillance operations to monitor criminal activity,1
Detectives and Criminal Investigators,Testify in court about investigations and evidence gathered,1
Detectives and Criminal Investigators,Utilize databases and records management systems to check criminal records and background information,4
Detectives and Criminal Investigators,Develop and implement investigative strategies to solve cases,2
Detectives and Criminal Investigators,Maintain accurate and organized case files and documentation,3
Fish and Game Wardens,Enforce fish and game laws and regulations.,1
Fish and Game Wardens,Conduct field inspections and patrols in wildlife areas.,1
Fish and Game Wardens,Monitor hunting and fishing activities.,1
Fish and Game Wardens,Investigate reports of poaching or illegal activity.,1
Fish and Game Wardens,Educate the public on wildlife conservation and regulations.,2
Fish and Game Wardens,Prepare and maintain detailed reports of field activities.,3
Fish and Game Wardens,Participate in wildlife population surveys and monitoring.,1
Fish and Game Wardens,Assist in the management of fish and wildlife habitats.,1
Fish and Game Wardens,Collaborate with other agencies and organizations on conservation efforts.,2
Fish and Game Wardens,Provide outreach and education programs for schools and community groups.,2
Parking Enforcement Workers,Patrol assigned areas to monitor for parking violations,1
Parking Enforcement Workers,Issue parking citations for illegal parking or expired meters,1
Parking Enforcement Workers,Educate the public about parking regulations and restrictions,1
Parking Enforcement Workers,Respond to inquiries from the public regarding parking rules,2
Parking Enforcement Workers,Document and report instances of repeated offenders or unresolved issues,3
Parking Enforcement Workers,Coordinate with local law enforcement for incidents related to parking violations,1
Parking Enforcement Workers,Manage and maintain parking meter inventory and functionality,2
Parking Enforcement Workers,Record and maintain a log of all citations issued,3
Parking Enforcement Workers,Conduct enforcement operations during special events or heavy traffic times,1
Parking Enforcement Workers,Review and process appeals to parking citations,3
Parking Enforcement Workers,Utilize electronic devices or systems for tracking and reporting violations,4
Parking Enforcement Workers,Attend community meetings to discuss parking concerns,1
Parking Enforcement Workers,Investigate and resolve complaints related to parking enforcement,2
Police and Sheriff's Patrol Officers,Patrolling assigned areas to deter crime and enforce laws,1
Police and Sheriff's Patrol Officers,Responding to emergency calls and incidents,1
Police and Sheriff's Patrol Officers,Conducting traffic stops and issuing citations for violations,1
Police and Sheriff's Patrol Officers,"Investigating accidents and offenses, gathering evidence and taking reports",1
Police and Sheriff's Patrol Officers,Interviewing witnesses and victims to gather information,2
Police and Sheriff's Patrol Officers,Arresting individuals suspected of criminal activity,1
Police and Sheriff's Patrol Officers,Preparing and filing incident reports and legal documents,3
Police and Sheriff's Patrol Officers,Testifying in court as required,1
Police and Sheriff's Patrol Officers,Maintaining communication with dispatch and fellow officers,3
Police and Sheriff's Patrol Officers,Engaging with community members to build trust and cooperation,1
Police and Sheriff's Patrol Officers,Conducting routine inspections of vehicles and equipment,1
Police and Sheriff's Patrol Officers,Participating in training sessions and physical fitness programs,1
Police and Sheriff's Patrol Officers,Utilizing technology and databases to gather intelligence on criminal activity,3
Police and Sheriff's Patrol Officers,Coordinating with other law enforcement agencies as necessary,2
Police and Sheriff's Patrol Officers,Responding to public disturbances and resolving conflicts,1
Police and Sheriff's Patrol Officers,Implementing traffic control measures during special events or emergencies,1
Animal Control Workers,"Responding to calls about stray, lost, or dangerous animals.",1
Animal Control Workers,Capturing and transporting animals to shelters or veterinary clinics.,1
Animal Control Workers,Investigating complaints of animal abuse or neglect.,1
Animal Control Workers,Maintaining records of all animal control activities.,4
Animal Control Workers,Educating the public about responsible pet ownership and animal safety.,2
Animal Control Workers,Assisting with the regulation of local animal ordinances and laws.,1
Animal Control Workers,Conducting field investigations involving animal welfare.,1
Animal Control Workers,Performing euthanasia as necessary and in compliance with regulations.,1
Animal Control Workers,Coordinating with veterinary services for animal care and treatment.,2
Animal Control Workers,Participating in community outreach and events to promote animal welfare.,1
Animal Control Workers,Assessing the health and behavior of animals in their care.,1
Animal Control Workers,Providing temporary housing for animals in distress or lost animals.,1
Private Detectives and Investigators,Conduct surveillance and observe individuals to gather information,1
Private Detectives and Investigators,Interview witnesses and informants to gather statements or evidence,1
Private Detectives and Investigators,Analyze and verify information obtained from various sources,3
Private Detectives and Investigators,"Investigate and analyze records, documents, and computer data",3
Private Detectives and Investigators,Write detailed reports summarizing findings and evidence,3
Private Detectives and Investigators,Testify in court regarding findings and evidence collected,1
Private Detectives and Investigators,Collaborate with law enforcement agencies when necessary,2
Private Detectives and Investigators,"Utilize technology for surveillance, evidence collection, and data analysis",3
Private Detectives and Investigators,Maintain confidentiality of sensitive information during investigations,1
Private Detectives and Investigators,Develop and maintain a network of contacts for gathering information,1
Private Detectives and Investigators,Plan and execute investigative strategies tailored to specific cases,2
Private Detectives and Investigators,Monitor trends and updates in criminal activities relevant to investigations,3
Private Detectives and Investigators,Manage case files and keep detailed records of investigations,3
Private Detectives and Investigators,Regularly communicate with clients to update them on progress and findings,2
Gambling Surveillance Officers and Gambling Investigators,Monitor gambling operations to ensure compliance with legal and regulatory standards,2
Gambling Surveillance Officers and Gambling Investigators,Review surveillance footage to identify any suspicious behavior or activities,3
Gambling Surveillance Officers and Gambling Investigators,"Investigate reports of cheating, collusion, or other forms of fraud",3
Gambling Surveillance Officers and Gambling Investigators,Compile detailed reports of findings and incidents for regulatory and legal purposes,3
Gambling Surveillance Officers and Gambling Investigators,Collaborate with law enforcement and regulatory agencies as needed,2
Gambling Surveillance Officers and Gambling Investigators,Conduct regular audits of gambling machines and systems,3
Gambling Surveillance Officers and Gambling Investigators,Provide training and support to staff on compliance and reporting procedures,2
Gambling Surveillance Officers and Gambling Investigators,"Maintain up-to-date knowledge of gambling laws, regulations, and industry standards",3
Gambling Surveillance Officers and Gambling Investigators,Develop and implement surveillance protocols and procedures,2
Gambling Surveillance Officers and Gambling Investigators,Respond promptly to incidents and emergencies within the gambling facility,1
Security Guards,Monitor and patrol premises to prevent and detect signs of intrusion or unusual activity.,1
Security Guards,"Check and authorize entrance and departure of employees, visitors, and other persons to guard against theft and maintain security of premises.",1
Security Guards,"Inspect and adjust security systems, equipment, and machinery for proper functioning.",2
Security Guards,"Prepare reports on daily activities and irregularities, such as equipment or property damage, theft, presence of unauthorized persons, or unusual occurrences.",3
Security Guards,Communicate with dispatchers or law enforcement personnel in case of emergency situations.,2
Security Guards,Respond to alarms and investigate disturbances.,1
Security Guards,"Provide assistance to employees and visitors as needed, including giving directions or answering questions.",1
Security Guards,"Conduct regular security checks on locks, windows, and other access points.",1
Security Guards,Maintain order throughout premises in accordance with established protocols and procedures.,1
Security Guards,Attend and participate in training and safety meetings to improve skills and knowledge regarding security protocols.,1
Crossing Guards and Flaggers,Monitor and control traffic flow at designated crossings,1
Crossing Guards and Flaggers,"Ensure the safety of pedestrians, especially children, at crosswalks",1
Crossing Guards and Flaggers,Use hand signals and flags to direct vehicles,1
Crossing Guards and Flaggers,Assist pedestrians in crossing roads safely,1
Crossing Guards and Flaggers,Communicate with drivers and pedestrians effectively,1
Crossing Guards and Flaggers,Report any dangerous conditions or traffic incidents to authorities,1
Crossing Guards and Flaggers,Adhere to traffic laws and safety regulations,1
Crossing Guards and Flaggers,"Maintain visibility by wearing appropriate safety gear','Conduct pre-shift inspections of equipment and signs",1
Crossing Guards and Flaggers,Coordinate with local law enforcement about traffic concerns,1
Crossing Guards and Flaggers,Educate the public about safe crossing practices,1
"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",Monitor and supervise the safety of individuals participating in recreational activities,1
"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers","Perform regular safety inspections of the recreational area including pools, lakes, and ski slopes",1
"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",Enforce rules and regulations to ensure a safe environment for all patrons,1
"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",Provide first aid and emergency care to injured persons or those in distress,1
"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",Administer CPR if necessary in emergency situations,1
"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",Respond to emergencies quickly and efficiently,1
"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",Perform rescues as needed in water or on mountains,1
"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",Maintain communication with other safety personnel and emergency services,1
"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",Educate patrons on safety protocols and tips for safe recreation,1
"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",Conduct drills and training sessions to maintain emergency response readiness,1
"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",Perform routine equipment checks and maintenance for safety gear and rescue equipment,1
"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",Assist in the maintenance and cleanliness of the recreational facility or site,1
"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers","Keep records of incidents, rescues, and first aid responses",2
"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",Provide friendly and helpful customer service to patrons and visitors,1
"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",Attend meetings and training sessions to stay updated on safety policies and procedures,1
Transportation Security Screeners,Conduct security screenings of passengers and their belongings at airport checkpoints,1
Transportation Security Screeners,Utilize imaging and scanning equipment to detect prohibited items,2
Transportation Security Screeners,Perform pat-down inspections when necessary,1
Transportation Security Screeners,Ensure compliance with Transportation Security Administration (TSA) regulations,1
Transportation Security Screeners,Monitor and respond to suspicious behavior or activities,1
Transportation Security Screeners,Provide assistance and information to travelers regarding security procedures,2
Transportation Security Screeners,Operate metal detectors and bomb detection equipment,1
Transportation Security Screeners,Collaborate with law enforcement and other security personnel as needed,1
Transportation Security Screeners,Document incidents and prepare reports on security-related events,3
Transportation Security Screeners,Participate in ongoing training to stay updated on security protocols and technologies,1
Transportation Security Screeners,Maintain a courteous and professional demeanor while interacting with passengers,1
Transportation Security Screeners,Assist in emergency response procedures when required,1
School Bus Monitors,Assist students in boarding and alighting from the school bus safely,1
School Bus Monitors,Ensure that all students are seated and wearing seatbelts during transit,1
School Bus Monitors,Monitor student behavior to maintain a safe and respectful environment,1
School Bus Monitors,Communicate with the bus driver regarding any student concerns or safety issues,2
School Bus Monitors,Help younger students or those with special needs to navigate the boarding process,1
School Bus Monitors,"Provide assistance during emergency situations, following established safety protocols",1
School Bus Monitors,Conduct a pre-trip inspection to ensure the bus is safe for operation,1
School Bus Monitors,Report any incidents or concerns to school administration or transportation supervisor,2
School Bus Monitors,Maintain an orderly environment on the bus to prevent distractions and potential accidents,1
School Bus Monitors,Keep an attendance record of students riding the bus,2
Chefs and Head Cooks,Plan menus and create recipes,2
Chefs and Head Cooks,Order and purchase food supplies,2
Chefs and Head Cooks,Prepare food items for cooking,1
Chefs and Head Cooks,Cook and plate dishes according to recipes,1
Chefs and Head Cooks,Manage kitchen staff and delegate tasks,1
Chefs and Head Cooks,Ensure food presentation meets quality standards,2
Chefs and Head Cooks,Maintain cleanliness and organization in the kitchen,1
Chefs and Head Cooks,Oversee food safety and sanitation practices,1
Chefs and Head Cooks,Monitor inventory and manage food costs,3
Chefs and Head Cooks,Conduct taste tests and adjust recipes as needed,1
Chefs and Head Cooks,Train new kitchen staff,2
Chefs and Head Cooks,Interact with customers to receive feedback and ensure satisfaction,1
Chefs and Head Cooks,Manage kitchen equipment and perform maintenance as needed,1
Chefs and Head Cooks,Implement kitchen policies and procedures,2
Chefs and Head Cooks,Create special dishes for events or occasions,1
First-Line Supervisors of Food Preparation and Serving Workers,Oversee daily operations of food preparation and serving staff,2
First-Line Supervisors of Food Preparation and Serving Workers,Train new employees on food safety and customer service standards,2
First-Line Supervisors of Food Preparation and Serving Workers,Schedule staff shifts and manage time-off requests,3
First-Line Supervisors of Food Preparation and Serving Workers,Monitor food quality and presentation before service,2
First-Line Supervisors of Food Preparation and Serving Workers,Ensure compliance with health and safety regulations,2
First-Line Supervisors of Food Preparation and Serving Workers,Handle customer complaints and feedback,2
First-Line Supervisors of Food Preparation and Serving Workers,Manage inventory and assist in ordering supplies,3
First-Line Supervisors of Food Preparation and Serving Workers,Conduct performance evaluations and provide feedback to staff,2
First-Line Supervisors of Food Preparation and Serving Workers,Create a positive work environment and motivate team members,1
First-Line Supervisors of Food Preparation and Serving Workers,Prepare daily reports on staff performance and sales metrics,3
First-Line Supervisors of Food Preparation and Serving Workers,Coordinate with kitchen and service staff to ensure seamless operations,2
First-Line Supervisors of Food Preparation and Serving Workers,Implement company policies and procedures among staff,2
First-Line Supervisors of Food Preparation and Serving Workers,Prepare food service area for service and maintain cleanliness standards,1
First-Line Supervisors of Food Preparation and Serving Workers,Resolve conflicts among staff and promote teamwork,1
"Cooks, Fast Food",Prepare food items according to established recipes and quality standards.,2
"Cooks, Fast Food","Cook food items in a fast-paced environment using various appliances such as grills, fryers, and ovens.",1
"Cooks, Fast Food",Assemble food orders accurately and neatly for service to customers.,2
"Cooks, Fast Food",Maintain cleanliness and organization of the kitchen and food preparation areas.,1
"Cooks, Fast Food",Ensure food safety and hygiene standards are followed during food handling and preparation.,1
"Cooks, Fast Food",Restock ingredients and supplies as needed throughout the shift.,1
"Cooks, Fast Food","Interact with customers to take orders, answer questions, and provide recommendations.",2
"Cooks, Fast Food","Complete cash register transactions accurately, including processing payments and issuing receipts.",3
"Cooks, Fast Food",Collaborate with team members to ensure a smooth workflow and timely service during busy periods.,1
"Cooks, Fast Food",Manage kitchen waste and dispose of food products properly to minimize waste.,1
"Cooks, Fast Food",Adhere to health and safety regulations at all times during food preparation and cooking.,1
"Cooks, Institution and Cafeteria",Prepare and cook meals according to established recipes and menus,1
"Cooks, Institution and Cafeteria",Plan menus that meet nutritional guidelines and dietary restrictions,2
"Cooks, Institution and Cafeteria",Ensure all food is prepared and served in a safe and sanitary environment,1
"Cooks, Institution and Cafeteria",Monitor food stock levels and reorder supplies as needed,3
"Cooks, Institution and Cafeteria",Manage meal presentation and portion control for optimized serving,1
"Cooks, Institution and Cafeteria","Maintain cleanliness of kitchen equipment, utensils, and work areas",1
"Cooks, Institution and Cafeteria",Supervise kitchen staff and delegate tasks as needed,1
"Cooks, Institution and Cafeteria",Conduct food safety audits and implement hygiene standards,1
"Cooks, Institution and Cafeteria",Assist in training new kitchen staff on procedures and safety practices,1
"Cooks, Institution and Cafeteria",Adapt recipes and menus based on feedback from staff and diners,2
"Cooks, Institution and Cafeteria",Serve meals to patrons and respond to special dietary requests or allergies,2
"Cooks, Institution and Cafeteria",Keep accurate inventory records of food and supplies,3
"Cooks, Institution and Cafeteria",Collaborate with dietitians and nutritionists to create meal plans for specific populations,2
"Cooks, Institution and Cafeteria",Participate in staff meetings to discuss menu planning and operational improvements,1
"Cooks, Institution and Cafeteria",Ensure compliance with health regulations and safety standards.,2
"Cooks, Restaurant","Prepare ingredients for cooking (chopping, marinating, etc.)",1
"Cooks, Restaurant",Cook menu items according to recipes and presentation standards,1
"Cooks, Restaurant",Maintain kitchen cleanliness and organization,1
"Cooks, Restaurant",Ensure food safety and hygiene standards are met,1
"Cooks, Restaurant",Manage inventory of food supplies and restock as needed,2
"Cooks, Restaurant","Operate kitchen equipment such as ovens, grills, fryers, and mixers",1
"Cooks, Restaurant",Collaborate with kitchen staff to maintain a smooth workflow,1
"Cooks, Restaurant",Monitor food quality and portion sizes,2
"Cooks, Restaurant",Assist in menu planning and special event preparations,2
"Cooks, Restaurant",Communicate with front-of-house staff regarding specials and menu items,2
"Cooks, Restaurant",Handle customer food allergies and dietary restrictions appropriately,2
"Cooks, Restaurant",Receive and store food deliveries properly,1
"Cooks, Restaurant",Prepare and package takeout orders when necessary,1
"Cooks, Restaurant",Participate in staff meetings and training sessions,1
"Cooks, Restaurant",Track and report any equipment malfunctions or needed repairs,2
"Cooks, Short Order",Prepare and cook food items according to menu specifications,1
"Cooks, Short Order",Maintain cleanliness and organization of the kitchen and workstations,1
"Cooks, Short Order",Ensure food safety and sanitation standards are met,1
"Cooks, Short Order",Take customer orders accurately and efficiently,2
"Cooks, Short Order",Assist in inventory management and stock control,2
"Cooks, Short Order",Work collaboratively with other kitchen staff to ensure timely service,1
"Cooks, Short Order",Garnish and plate food items appealingly,1
"Cooks, Short Order",Handle cooking equipment and utensils safely and correctly,1
"Cooks, Short Order",Monitor food temperatures and adjust cooking times as necessary,2
"Cooks, Short Order",Communicate effectively with servers and front-of-house staff,1
"Cooks, Short Order",Prepare garnishes and sauces as required,1
"Cooks, Short Order",Adjust recipes and portion sizes based on demand,2
"Cooks, Short Order",Conduct regular checks on food quality and freshness,1
"Cooks, Short Order",Participate in daily prep work and setup before service begins,1
"Cooks, Short Order",Document and report any kitchen issues or equipment malfunctions,2
"Cooks, Short Order",Follow recipes and portion control guidelines to maintain consistency,2
"Cooks, All Other","Prepare ingredients by washing, chopping, and measuring them for recipes",1
"Cooks, All Other",Cook food items according to recipes or customer preferences,2
"Cooks, All Other",Monitor food cooking times to ensure quality and prevent overcooking,2
"Cooks, All Other",Season and taste dishes to ensure proper flavor,1
"Cooks, All Other",Prepare and package food items for delivery or service,1
"Cooks, All Other",Maintain cleanliness and organization of workstations and kitchen equipment,1
"Cooks, All Other",Follow food safety and sanitation guidelines to ensure a safe cooking environment,1
"Cooks, All Other",Manage inventory of food supplies and place orders when needed,3
"Cooks, All Other",Assist in menu planning and the development of new recipes,3
"Cooks, All Other",Collaborate with other kitchen staff to ensure smooth kitchen operations,1
"Cooks, All Other",Adapt cooking methods and recipes based on dietary restrictions or preferences,2
"Cooks, All Other",Keep track of time and manage multiple orders simultaneously,2
"Cooks, All Other","Clean and sterilize kitchen equipment, utensils, and work surfaces",1
"Cooks, All Other",Receive and store food orders following proper storage procedures,1
"Cooks, All Other",Engage with customers to receive feedback on food quality and service,1
Food Preparation Workers,"Wash, peel, and cut vegetables and fruits",1
Food Preparation Workers,"Prepare ingredients for cooking such as measuring, mixing, and cutting",1
Food Preparation Workers,"Assist in cooking food items such as soups, stews, and sauces under supervision",1
Food Preparation Workers,Ensure kitchen work areas are clean and sanitized,1
Food Preparation Workers,Keep cooking utensils and equipment clean and organized,1
Food Preparation Workers,Assist in plating and serving dishes for customers,1
Food Preparation Workers,Receive and store food supplies appropriately,1
Food Preparation Workers,Follow food safety and sanitation guidelines during food preparation,2
Food Preparation Workers,Monitor food inventory and report shortages to supervisors,3
Food Preparation Workers,Participate in menu planning and food preparation sessions with chefs or kitchen managers,2
Food Preparation Workers,"Operate kitchen equipment such as mixers, ovens, and grills",1
Food Preparation Workers,Label food products and maintain food storage areas,2
Food Preparation Workers,Take note of customer dietary restrictions and preferences,2
Food Preparation Workers,Support chefs in creating special dishes or catering orders,2
Bartenders,Prepare and serve alcoholic and non-alcoholic beverages to patrons,1
Bartenders,Mix and create cocktails according to recipes or customers' preferences,2
Bartenders,Take orders from customers and serve snacks or bar food,1
Bartenders,Check identification to verify that customers meet the minimum legal drinking age,1
Bartenders,Maintain cleanliness and organization of the bar area,1
Bartenders,Stock and restock bar supplies as needed,1
Bartenders,"Handle cash and process payments, including tips",1
Bartenders,Provide excellent customer service and engage with guests,1
Bartenders,Manage inventory and order supplies when necessary,3
Bartenders,Ensure compliance with health and safety regulations,2
Bartenders,"Clean glassware, utensils, and bar equipment",1
Bartenders,Create and update drink menus and specials,3
Bartenders,Assist in training new bartenders or bar staff,1
Bartenders,Resolve customer complaints and address any issues that arise during service,2
Bartenders,Monitor customer behavior and ensure responsible alcohol service,1
Fast Food and Counter Workers,Take customer orders at the counter or drive-thru,1
Fast Food and Counter Workers,Prepare food items according to established recipes and standards,2
Fast Food and Counter Workers,"Cook food items such as burgers, fries, and chicken",1
Fast Food and Counter Workers,Assemble and package food orders for customers,2
Fast Food and Counter Workers,Serve food and beverages to customers,1
Fast Food and Counter Workers,Maintain cleanliness and organization of the food preparation area,1
Fast Food and Counter Workers,Restock supplies and ingredients as necessary,1
Fast Food and Counter Workers,"Operate kitchen equipment such as fryers, grills, and ovens",1
Fast Food and Counter Workers,Handle cash transactions and process payments,3
Fast Food and Counter Workers,Provide excellent customer service and address customer inquiries or complaints,2
Fast Food and Counter Workers,Ensure compliance with food safety and hygiene regulations,1
Fast Food and Counter Workers,"Clean dining areas, counters, and utensils regularly",1
Fast Food and Counter Workers,Assist with inventory management and stock rotation,2
Fast Food and Counter Workers,Collaborate with team members to improve service efficiency,2
Fast Food and Counter Workers,Participate in training programs for new staff members,1
Waiters and Waitresses,Greet customers as they arrive and escort them to their tables,1
Waiters and Waitresses,Present menus and provide detailed information about menu items and specials,2
Waiters and Waitresses,Take customer orders accurately and enter them into the POS system,3
Waiters and Waitresses,Serve food and beverages to customers in a timely manner,1
Waiters and Waitresses,Check on customers at their tables to ensure satisfaction with food and service,1
Waiters and Waitresses,"Clear empty plates, glasses, and utensils from tables",1
Waiters and Waitresses,"Process customer payments using cash, credit, or debit cards",3
Waiters and Waitresses,Handle customer complaints and rectify issues with professionalism,2
Waiters and Waitresses,Maintain cleanliness and organization of the dining area,1
Waiters and Waitresses,Collaborate with kitchen staff for timely preparation and delivery of orders,2
Waiters and Waitresses,Set up and prepare tables for service before opening hours,1
Waiters and Waitresses,Assist in restocking supplies and inventory management,2
Waiters and Waitresses,Follow health and safety regulations to ensure food safety,1
Waiters and Waitresses,Participate in training and team meetings regularly,1
Waiters and Waitresses,Stay updated on menu changes and promotions to effectively inform customers,2
"Food Servers, Nonrestaurant","Prepare dining area for service, including setting up tables and placing utensils, napkins, and condiments.",1
"Food Servers, Nonrestaurant",Greet and welcome guests as they arrive at the venue.,1
"Food Servers, Nonrestaurant",Present menus and provide information about daily specials or meal options.,3
"Food Servers, Nonrestaurant",Take food and beverage orders from guests accurately and promptly.,1
"Food Servers, Nonrestaurant","Communicate orders to the kitchen and bar staff using proper methods (e.g., order slips or POS systems).",3
"Food Servers, Nonrestaurant","Serve food and beverages to guests in a timely manner, ensuring presentation is maintained.",1
"Food Servers, Nonrestaurant",Check on guests throughout their meal to ensure satisfaction and address any issues that may arise.,1
